URL;Nombre
https://10.1.5.42:7001/console/;Srvprod4
https://10.1.5.42:7001/console/;Srvprod6
https://10.1.5.43:7001/console/;Srvprod1
https://10.1.5.43:7001/console/;Srvprod2
https://10.1.5.43:7001/console/;Srvprod3
https://10.1.5.43:7001/console/;Srvprod4
https://10.1.5.43:7001/console/;Srvprod6
https://10.1.5.81:7063/console;WLS_FORMS_CAPI1
https://10.1.5.81:7064/console;WLS_FORMS_PREST1
https://10.1.5.81:7065/console;WLS_FORMS_TER1
https://10.1.5.81:7066/console;WLS_REPORTS_CAPI1
https://10.1.5.81:7067/console;WLS_REPORTS_PREST1
https://10.1.5.81:7068/console;WLS_REPORTS_TER1
https://10.1.5.81:7063/console;WLS_FORMS_CAPI1_2
https://10.1.5.81:7064/console;WLS_FORMS_PREST1_2
https://10.1.5.81:7065/console;WLS_FORMS_TER1_2
https://10.1.5.81:7066/console;WLS_REPORTS_CAPI1_2
https://10.1.5.81:7067/console;WLS_REPORTS_PREST1_2
https://10.1.5.81:7068/console;WLS_REPORTS_TER1_2
https://10.6.4.132:6041/console/;Transversales1_4
https://10.6.4.132:6041/console/;Transversales1_3
https://10.6.4.132:6041/console/;Impresion1_2
https://10.6.4.132:6041/console/;Impresion1
https://10.6.4.132:6041/console/;Transversales1_2
https://10.6.4.132:6041/console/;Transversales1
https://10.6.4.134:6061/console;Libertador1
https://10.6.4.134:6061/console;Clientes1_2
https://10.6.4.134:6061/console;Clientes1
https://10.6.4.134:6061/console;Libertador1_2
https://10.6.4.136:6031/console;Servicios3_3
https://10.6.4.136:6031/console;Servicios1_6
https://10.6.4.136:6031/console;Servicios1_3
https://10.6.4.136:6031/console;Servicios1_4
https://10.6.4.136:6031/console;Servicios2_3
https://10.6.4.136:6031/console;Servicios1_2
https://10.6.4.136:6031/console;Servicios1_5
https://10.6.4.136:6031/console;Servicios1
https://10.6.4.136:6031/console;Servicios2_2
https://10.6.4.136:6031/console;Servicios2
https://10.6.4.136:6031/console;Servicios3_2
https://10.6.4.136:6031/console;Servicios3
https://10.6.4.138:6081/console;Agenda1_2
https://10.6.4.138:6081/console;Agenda1
https://10.6.4.138:6081/console;Atgc1_2
https://10.6.4.138:6081/console;Atgc1
https://10.6.4.139:6071/console;Siebel1_3
https://10.6.4.139:6071/console;Siebel1_4
https://10.6.4.139:6071/console;Terceros1_3
https://10.6.4.139:6071/console;Terceros1_4
https://10.6.4.139:6071/console;Siebel1
https://10.6.4.139:6071/console;Siebel1_2
https://10.6.4.139:6071/console;Terceros1_2
https://10.6.4.139:6071/console;Terceros1
https://10.7.6.23:5876/console;Clientes1_2
https://10.7.6.23:60611/console;Davivienda1_2
https://10.7.6.23:60611/console;Davivienda1
https://10.7.6.23:60611/console;Libertador1_2
https://10.7.6.23:60611/console;Libertador1
https://10.7.6.23:60611/console;Libertador2_2
https://10.7.6.23:60611/console;Libertador2
https://10.7.6.23:5875/console;Clientes1
https://10.7.6.24:60311/console;Servicios1_2
https://10.7.6.24:60311/console;Servicios1
https://10.7.6.24:60311/console;Servicios2_2
https://10.7.6.24:60311/console;Servicios2
https://10.7.6.24:60311/console;Servicios3_2
https://10.7.6.24:60311/console;Servicios3
https://10.7.6.24:60311/console;Idigital1_2
https://10.7.6.24:60311/console;Idigital1
https://10.7.6.25:9055/console;ESignature1_2
https://10.7.6.25:9054/console;ESignature1
https://10.7.6.25:9057/console;Impresion1_2
https://10.7.6.25:9056/console;Impresion1
https://10.7.6.25:9059/console;Impresion2_2
https://10.7.6.25:9058/console;Impresion2
https://10.7.6.25:9066/console;Transversales1_2
https://10.7.6.25:9065/console;Transversales1
https://10.7.6.25:9063/console;Facturacion1        
https://10.7.6.25:9064/console;Facturacion1_2        
https://10.7.6.25:9051/console;Facturacion1_3
https://10.7.6.25:9052/console;Facturacion1_4
https://10.7.6.32:50511/console;Salud1_3
https://10.7.6.32:50511/console;Salud1_4
https://10.7.6.32:50511/console;Salud1_2
https://10.7.6.32:50511/console;Salud1
https://10.7.6.39:7001/console/;osb_hpe1_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server1_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server2_Prod_1_1224
https://10.7.6.39:7001/console/;soa_server1_Prod_1_1224
https://10.7.6.39:7001/console/;soa_server2_Prod_1_1224
https://10.7.6.39:7001/console/;osb_hpe2_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server3_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server4_Prod_1_1224
https://10.7.6.39:7001/console/;soa_server3_Prod_1_1224
https://10.7.6.39:7001/console/;osb_hpe3_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server5_Prod_1_1224
https://10.7.6.39:7001/console/;osb_server6_Prod_1_1224
https://10.7.6.61:7095/console;WLS_FORMS_PSAI1
https://10.7.6.61:7096/console;WLS_REPORTS_PSAI1
https://10.7.6.61:7095/console;WLS_FORMS_PSAI2
https://10.7.6.61:7096/console;WLS_REPORTS_PSAI2
https://10.7.6.8:60610/console;Avaluos2
https://10.7.6.8:60610/console;Avaluos1
